hindi,english
इलाहाबाद विश्वविद्यालय,University of Allahabad
पद्म विभूषण,Padma Vibhushan
भारतीय,Indian
भारतीय प्रशासनिक सेवा,Indian Administrative Service
राजस्थान,Rajasthan
आई॰ऍस॰बी॰ऍन॰,International Standard Book Number
आकाशवाणी,All India Radio
उदयपुर,Udaipur
दिल्ली,Delhi
पद्म विभूषण,Padma Vibhushan
भारत,India
भारतीय सिनेमा,Cinema of India
महाराष्ट्र,Maharashtra
मुम्बई,Mumbai
लाहौर,Lahore
सारंगी,Sarangi
हिन्दुस्तानी शास्त्रीय संगीत,Hindustani classical music
कैम्ब्रिज,Cambridge
जोधपुर,Jodhpur
पद्म भूषण,Padma Bhushan
भारत,India
भारत सरकार,Government of India
महाराष्ट्र,Maharashtra
राजस्थान,Rajasthan
१९८६,1986
उदयपुर,Udaipur
कलकत्ता विश्वविद्यालय,University of Calcutta
न्यूयॉर्क,New York (state)
पद्म विभूषण,Padma Vibhushan
भारत,India
भारत सरकार,Government of India
राजस्थान,Rajasthan
शिक्षा,Education
१९०९,1909
२०००,2000
डूंगरपुर,Dungarpur
डूंगरपुर राज्य,Dungarpur State
भारत के राष्ट्रपति,President of India
भारत सरकार,Government of India
संयुक्त राष्ट्र,United Nations
हेग,The Hague
इलाहाबाद विश्वविद्यालय,University of Allahabad
उदयपुर,Udaipur
कैम्ब्रिज विश्वविद्यालय,University of Cambridge
कोठारी आयोग,Kothari Commission
दिल्ली विश्वविद्यालय,University of Delhi
पद्म भूषण,Padma Bhushan
भारत,India
भारतीय राष्ट्रीय विज्ञान अकादमी,Indian National Science Academy
मेघनाद साहा,Meghnad Saha
मेवाड़,Mewar
राजस्थान,Rajasthan
१९६२,1962
अजमेर,Ajmer
आगरा,Agra
इलाहाबाद,Allahabad
उदयपुर,Udaipur
जगत मेहता,Jagat Singh Mehta
डूंगरपुर,Dungarpur
पद्म विभूषण,Padma Vibhushan
पाकिस्तान,Pakistan
भारत सरकार,Government of India
भीलवाड़ा,Bhilwara
महाराणा प्रताप,Maharana Pratap
मेवाड़,Mewar
राजस्थान,Rajasthan
राजस्थान विश्वविद्यालय,University of Rajasthan
पद्म भूषण,Padma Bhushan
बिजोलिया,Bijolia
भारत,India
भारत सरकार,Government of India
राजस्थान,Rajasthan
१९६५,1965
कृष्णकुमार बिड़ला,K. K. Birla
