english, hindi
Naresh_Chandra,नरेश चन्द्रा
Ram_Narayan,राम नारायण
Man_Mohan_Sharma,मनमोहन शर्मा
Kalu_Lal_Shrimali,के॰ एल॰ श्रीमाली
Nagendra_Singh,नगेन्द्र सिंह
Daulat_Singh_Kothari,दौलत सिंह कोठारी
Mohan_Sinha_Mehta,मोहन सिंह मेहता
Manikya_Lal_Varma,माणिक्यलाल वर्मा
Ghanshyam_Das_Birla,घनश्यामदास बिड़ला
Padma_Bhushan,पद्म भूषण
Komal_Kothari,कोमल कोठारी
Durga_Lal,दुर्गा लाल
Jagat_Singh_Mehta,जगत मेहता
Ram_Narain_Agarwal,रामनारायण अग्रवाल
L._M._Singhvi,लक्ष्मीमल्ल सिंघवी
Natwar_Singh,नटवर सिंह
Bhogilal_Pandya,भोगीलाल पांड्या
Narayandas_Malkani,एन आर मलकानी
Lt_Gen_Sagat_Singh,सगत सिंह
Gokulbhai_Bhatt,गोकुलभाई भट्ट
Prabhu_Lal_Bhatnagar,प्रभु लाल भटनागर
Rao_Raja_Hanut_Singh,राव राजा हनुत सिंह
Padma_Shri,पद्म श्री
Krishna_Poonia,कृष्णा पूनिया
Arjun_Prajapati,अर्जुन प्रजापति
Vijaydan_Detha,विजयदान देथा
Rajyavardhan_Singh_Rathore,राज्यवर्धन सिंह राठौड़
Kanhaiyalal_Sethia,कन्हैयालाल सेठिया
Vishwa_Mohan_Bhatt,विश्व मोहन भट्ट
Kailash_Sankhala,कैलाश सांखला
Lashmi_Kumari_Chundawat,लक्ष्मी कुमारी चूड़ावत
Allah_Jilai_Bai,अल्लाह जिलाई बाई
Shree_Lal_Joshi,श्री लाल जोशी
Sita_Ram_Lalas,सीताराम लालस
Kripal_Singh_Shekhawat,कृपाल सिह शेखावत
Yudhvir_Singh,युद्धवीर सिंह
Sis_Ram_Ola,शीशराम ओला
Kanwar_Sain,कुँवर सैन
Sudhir_Tailang,सुधीर तैलंग
Magsaysay_Award,रेमन मैगसेसे पुरस्कार
Rajendra_Singh,राजेन्द्र सिंह
Lalit_Kala_Akademi_Fellowship,ललित कला अकादमी के सभासदों की सूची
Kala_Nath_Shastry,कलानाथ शास्त्री
Godfrey_Phillips_National_Bravery_Awards,रेड एंड व्हाइट गोल्ड अवार्ड
Piru_Singh_Shekhawat,पीरू सिंह
Kishan_Singh_Rathore,किशन सिंह राठौड़
Digendra_Kumar,दिगेंद्र कुमार
Hanut_Singh,राव राजा हनुत सिंह
Amar_Singh_Rathore,अमरसिंह राठौड़
Bhanu_Pratap_Singh,भानु प्रताप सिंह
Bhairon_Singh_Shekhawat,भैरोंसिंह शेखावत
Hari_Dev_Joshi,हरिदेव जोशी
Mohan_Lal_Sukhadia,मोहन लाल सुखाड़िया
Karnataka,कर्नाटक
Tamil_Nadu,तमिल नाडु
Andhra_Pradesh,आन्ध्र प्रदेश
Nawal_Kishore_Sharma,नवल किशोर शर्मा
Sunder_Singh_Bhandari,सुन्दर सिंह भण्डारी
Ajai_Singh,अजय सिंह
Banwari_Lal_Joshi,बनवारी लाल जोशी
Shiv_Charan_Mathur,शिवचरण माथुर
Jagannath_Pahadia,जगन्नाथ पहाड़िया
Kamla_Beniwal,कमला बेनीवाल
Heera_Lal_Shastri,हीरा लाल शास्त्री
Jai_Narayan_Vyas,जय नारायण व्यास
Barkatullah_Khan,बरकतुल्लाह ख़ान
Hira_Lal_Devpura,हीरा लाल देवपुरा
Ashok_Gehlot,अशोक गहलोत
Tika_Ram_Paliwal,टीका राम पालीवाल
Hari_Shankar_Bhabhra,हरिशंकर भाभड़ा
