,hindi,english
0,कटक,Cuttack
1,पद्म भूषण,Padma Bhushan
2,भारत,India
3,भारत सरकार,Government of India
4,सरस्वती सम्मान,Saraswati Samman
5,२००६,2006
6,आन्ध्र विश्वविद्यालय,Andhra University
7,कटक,Cuttack
8,काव्य,Poetry
9,कोलकाता,Kolkata
10,ज्ञानपीठ पुरस्कार,Jnanpith Award
11,पश्चिम बंगाल,West Bengal
12,पुस्तक,Book
13,ब्रह्मपुर,Berhampur
14,मुहावरा,Idiom
15,शिक्षा,Education
16,साहित्य,Literature
17,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
18,उत्कल विश्वविद्यालय,Utkal University
19,ओडिशा,Odisha
20,कटक,Cuttack
21,कमलादेवी चट्टोपाध्याय,Kamaladevi Chattopadhyay
22,जवाहरलाल नेहरू,Jawaharlal Nehru
23,दुर्गाबाई देशमुख,Durgabai Deshmukh
24,बंगाल प्रेसीडेंसी,Bengal Presidency
25,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
26,महात्मा गांधी,Mahatma Gandhi
27,सरोजिनी नायडू,Sarojini Naidu
28,2008,2008
29,ओड़िया,Odia language
30,ओड़िया भाषा,Odia language
31,चेन्नई,Chennai
32,जर्मन,German language
33,तिरुवनन्तपुरम,Thiruvananthapuram
34,धेंकनाल,"Dhenkanal, India"
35,बांग्ला,Bengali language
36,बांग्लादेश,Bangladesh
37,मराठी,Marathi language
38,मलयालम,Malayalam
39,हिन्दी,Hindi
